JobTitle,Company,Location,Summary,ExtractDate,Salary,Today_Date
newProject Manager- Web/Software Development,Spiralyze,"Mumbai, Maharashtra•Remote","['', 'We code those designs into challenger web pages.', 'Coordination. Running big A/B tests requires teams of 5-10 people (researchers, strategists, designers,…', '']",3 days ago,"₹30,000 - ₹80,000 a month",Today_Date
Senior Web Developer,Tonic Worldwide,"Mumbai, Maharashtra•Remote","['', 'Develop & implement modern web services using service-oriented architecture, RESTful APIs, and SOAP.', 'Test, troubleshoot, and optimize application components for…', '']",30+ days ago,"₹50,000 - ₹65,000 a month",Today_Date
newWeb Designer & Developer,Ardent Research,"Mumbai, Maharashtra•Remote","['', 'Writes/reads clean well-documented custom code and updates, as needed; updates and develops custom database driven websites to meet special needs of clients as…', '']",Just posted,"₹9,676 - ₹18,866 a month",Today_Date
newWeb Developer,Mobavenue Media Pvt Ltd,"Mumbai, Maharashtra•Remote","['', 'A solid understanding of how web applications work including security, session management and best development practices.', 'Good Knowledge of HTML and CSS.', '']",Just posted,"₹18,000 - ₹20,000 a month",Today_Date
newWeb Developer - PHP,Bambu,"Navi Mumbai, Maharashtra","['', 'Solid ability to translate UI/UX design mockup to actual code that will produce visual elements of the application.', 'Strong proficiency in PHP language.', '']",Just posted, ,Today_Date
Front-End Web Developer,TIC,"Navi Mumbai, Maharashtra","['', 'Proficient understanding of web markup, including HTML5, CSS3.', 'Optimize application for maximum speed and scalability.', '']",30+ days ago, ,Today_Date
Web Developer,PTS Systems & Solutions Pvt Ltd,"Navi Mumbai, Maharashtra","['', 'Writing well designed, testable, efficient code by using best software development practices.', 'Integrating data from various back-end services and databases.', '']",30+ days ago,"₹15,000 - ₹20,000 a month",Today_Date
HTML Developer,G-ORDINATEUR PVT LTD,"Navi Mumbai, Maharashtra•Temporarily Remote","['', 'Experience building large consumer web applications.', 'Code new features and enhancements across several web apps.', 'Shift Timings: 10.00 am- 07.00 pm.', '']",27 days ago,"₹1,20,000 - ₹2,40,000 a year",Today_Date
Web Developer,GIT Technologies,"Vashi, Navi Mumbai, Maharashtra","['', 'Skills At least 1 - 2 years of experience using HTML, CSS, and JavaScript,.', 'Proficiency in at least one server-side technology (Java, PHP, NodeJS etc.).', '']",19 days ago, ,Today_Date
newWordpress Developer,Brain Candy,"Navi Mumbai, Maharashtra","['', 'Intimate understanding of the WordPress core, Plugins Integration.', 'Knowledge of core PHP, JavaScript, HTML, CSS.', '']",4 days ago, ,Today_Date
newPHP Developer,Neolite Infotech,"Navi Mumbai, Maharashtra","['', 'Strong coding skill in PHP-MySQL, MONGO DB,.', 'Experience on PHP–MVC framework, preferably Laravel.', 'Good knowledge of Json, XML, SOAP , HTML,CSS ,JS , JQUERY ,…', '']",2 days ago, ,Today_Date
newWeb Developer PHP - Immediate Joinee,Tradesocio India Private Limited,"Navi Mumbai, Maharashtra•Temporarily Remote","['', 'Solid ability to translate UI/UX design mockup to actual code that will produce visual elements of the application.', 'Strong proficiency in PHP language.', '']",4 days ago, ,Today_Date
Web Developer,GAMSYS,"CBD Belapur, Navi Mumbai, Maharashtra","['', 'Developing mobile Friendly and responsive websites.', 'Assist in building wireframes/prototypes.', 'Keeping up-to-date with recent technological and software…', '']",30+ days ago, ,Today_Date
Web Developer Intern,ARCITECH,"Mumbai, Maharashtra","['', 'Assist in troubleshooting issues on web-based systems.', 'Provide technical support related to web-based systems to internal teams.', '']",18 days ago,"₹3,000 a month",Today_Date
newWeb Designer & Developer,Vigo Infotech Pvt. Ltd.,"Mumbai, Maharashtra","['', 'Responsive web design: 1 year (Preferred).', 'Good experience in HTML 5, CSS 3, Javascript, Jquery.', 'Proficient in Photoshop, Corel Draw, and other graphics tools …', '']",Just posted,"₹5,000 - ₹12,000 a month",Today_Date
